id,created_at,description,scan_id,type,recommendation,severity,attack_type_code,state,eal_low,eal_ml,eal_high,eal_daily
804,2025-07-04 16:04:50.893,"SUSPICIOUS TYPOSQUAT: aitg.ai requires investigation due to suspicious indicators. Low domain similarity - likely unrelated business. Domain resolves to IP address. Responds to HTTP requests. WHOIS verification needed - unable to confirm registrar ownership | WHOIS verification needed for both domains | Original registrant: Domains By Proxy, LLC, Typosquat registrant: Super Privacy Service LTD c/o Dynadot",enjEpUo_OoR,SUSPICIOUS_TYPOSQUAT,"Investigate domain aitg.ai further - verify ownership, check content, and assess for active abuse",MEDIUM,PHISHING_BEC,AUTOMATED,1000,2000,4000,
805,2025-07-04 16:04:52.485,MALICIOUS TYPOSQUAT (Active Threat): altz.ai showing suspicious activity requiring immediate action. Domain variant: Moderate character similarity: 75% (1 character changes). Domain resolves to IP address. Responds to HTTP requests. WHOIS verification needed - unable to confirm registrar ownership. Redirects to original domain but different registrar (verify ownership) | WHOIS verification needed for both domains,enjEpUo_OoR,MALICIOUS_TYPOSQUAT,Initiate takedown procedures - active threat with suspicious indicators at altz.ai,CRITICAL,MALWARE,AUTOMATED,5000,10000,20000,
806,2025-07-04 16:04:52.924,"MALICIOUS TYPOSQUAT (Email Phishing): altu.ai has email functionality and different registrar - high risk for email-based attacks. Domain variant: Moderate character similarity: 75% (1 character changes). Moderate email phishing risk with MX capability. Domain resolves to IP address. Has MX records (email capability). Responds to HTTP requests. 🤖 AI-detected parked domain with phishing potential: The typosquat domain 'altu.ai' does not mimic the original brand or content of 'altq.ai', as it is parked and has generic content. However, the similarity in domain name could lead to confusion. The lack of active impersonation reduces the immediate threat, but the parked nature poses a potential risk for future phishing attempts.. WHOIS verification needed - unable to confirm registrar ownership. Redirects to original domain but different registrar (verify ownership) | WHOIS verification needed for both domains | Original registrant: Domains By Proxy, LLC, Typosquat registrant: Zenvia Mobile Servicos Digitais SA",enjEpUo_OoR,MALICIOUS_TYPOSQUAT,Urgent: Initiate takedown procedures - email phishing capability detected at altu.ai,CRITICAL,MALWARE,AUTOMATED,5000,10000,20000,
807,2025-07-04 16:04:55.067,MALICIOUS TYPOSQUAT (Email Phishing): alts.ai has email functionality and different registrar - high risk for email-based attacks. Domain variant: Moderate character similarity: 75% (1 character changes). Moderate email phishing risk with MX capability. Domain resolves to IP address. Has MX records (email capability). Has TLS certificate (active hosting). Responds to HTTP requests. WHOIS verification needed - unable to confirm registrar ownership. Redirects to original domain but different registrar (verify ownership) | WHOIS verification needed for both domains,enjEpUo_OoR,MALICIOUS_TYPOSQUAT,Urgent: Initiate takedown procedures - email phishing capability detected at alts.ai,CRITICAL,MALWARE,AUTOMATED,5000,10000,20000,
808,2025-07-04 16:04:55.377,"MALICIOUS TYPOSQUAT (Active Threat): ltq.ai showing suspicious activity requiring immediate action. Domain variant: Moderate character similarity: 75% (1 character changes). Domain resolves to IP address. Has TLS certificate (active hosting). Responds to HTTP requests. 🤖 AI-detected parked domain with phishing potential: The typosquat domain ltq.ai does not mimic the original brand or content of altq.ai, as it is a parked domain with minimal content. However, the similarity in domain names poses a low risk of confusion. The lack of content reduces the immediate threat, but it could be weaponized for phishing in the future.. WHOIS verification needed - unable to confirm registrar ownership. Redirects to original domain but different registrar (verify ownership) | WHOIS verification needed for both domains | Original registrant: Domains By Proxy, LLC, Typosquat registrant: Privacy service provided by Withheld for Privacy ehf",enjEpUo_OoR,MALICIOUS_TYPOSQUAT,Initiate takedown procedures - active threat with suspicious indicators at ltq.ai,CRITICAL,MALWARE,AUTOMATED,5000,10000,20000,
809,2025-07-04 16:04:55.8,"MALICIOUS TYPOSQUAT (Email Phishing): alq.ai has email functionality and different registrar - high risk for email-based attacks. Domain variant: Moderate character similarity: 75% (1 character changes). Moderate email phishing risk with MX capability. Domain resolves to IP address. Has MX records (email capability). Has TLS certificate (active hosting). Responds to HTTP requests. 🤖 AI-detected parked domain with phishing potential: The typosquat domain alq.ai does not mimic the original brand or content of altq.ai. It is a parked domain with minimal content indicating it is for sale, which poses a potential phishing risk but lacks direct impersonation of the original brand.. WHOIS verification needed - unable to confirm registrar ownership. Redirects to original domain but different registrar (verify ownership) | WHOIS verification needed for both domains",enjEpUo_OoR,MALICIOUS_TYPOSQUAT,Urgent: Initiate takedown procedures - email phishing capability detected at alq.ai,CRITICAL,MALWARE,AUTOMATED,5000,10000,20000,
810,2025-07-04 16:04:56.365,"MALICIOUS TYPOSQUAT (Email Phishing): alty.ai has email functionality and different registrar - high risk for email-based attacks. Domain variant: Moderate character similarity: 75% (1 character changes). Moderate email phishing risk with MX capability. Domain resolves to IP address. Has MX records (email capability). Responds to HTTP requests. WHOIS verification needed - unable to confirm registrar ownership. Redirects to original domain but different registrar (verify ownership) | WHOIS verification needed for both domains | Original registrant: Domains By Proxy, LLC, Typosquat registrant: Privacy service provided by Withheld for Privacy ehf",enjEpUo_OoR,MALICIOUS_TYPOSQUAT,Urgent: Initiate takedown procedures - email phishing capability detected at alty.ai,CRITICAL,MALWARE,AUTOMATED,5000,10000,20000,
811,2025-07-04 16:04:56.484,"MALICIOUS TYPOSQUAT (Email Phishing): atq.ai has email functionality and different registrar - high risk for email-based attacks. Domain variant: Moderate character similarity: 75% (1 character changes). Moderate email phishing risk with MX capability. Domain resolves to IP address. Has MX records (email capability). Responds to HTTP requests. 🤖 AI-verified legitimate different business: The typosquat domain 'atq.ai' does not mimic the original brand 'altq.ai' in terms of content or services. The content is focused on chatbots, which is distinctly different from the private market intelligence offered by AltQ. However, the similarity in domain names poses a minor risk of confusion.. WHOIS verification needed - unable to confirm registrar ownership. Redirects to original domain but different registrar (verify ownership) | WHOIS verification needed for both domains | Original registrant: Domains By Proxy, LLC, Typosquat registrant: Privacy service provided by Withheld for Privacy ehf",enjEpUo_OoR,MALICIOUS_TYPOSQUAT,Urgent: Initiate takedown procedures - email phishing capability detected at atq.ai,HIGH,MALWARE,AUTOMATED,4000,8000,16000,
812,2025-07-04 16:04:56.658,MALICIOUS TYPOSQUAT (Active Threat): aitq.ai showing suspicious activity requiring immediate action. Domain variant: Moderate character similarity: 75% (1 character changes). Domain resolves to IP address. Has TLS certificate (active hosting). Responds to HTTP requests. WHOIS verification needed - unable to confirm registrar ownership. Redirects to original domain but different registrar (verify ownership) | WHOIS verification needed for both domains,enjEpUo_OoR,MALICIOUS_TYPOSQUAT,Initiate takedown procedures - active threat with suspicious indicators at aitq.ai,CRITICAL,MALWARE,AUTOMATED,5000,10000,20000,
813,2025-07-04 16:04:57.033,"MALICIOUS TYPOSQUAT (Email Phishing): alt.ai has email functionality and different registrar - high risk for email-based attacks. Domain impersonation: Moderate character similarity: 75% (1 character changes), Common typosquat pattern: character-omission. High email phishing risk with MX capability. Domain resolves to IP address. Has MX records (email capability). Responds to HTTP requests. 🤖 AI-verified legitimate different business: The typosquat domain 'alt.ai' does not directly copy or mimic the original brand 'altq.ai' in terms of content or services. The title and description are in Japanese and focus on a different concept (Personal Artificial Intelligence), indicating a distinct business focus. However, the similarity in the domain names could lead to confusion.. WHOIS verification needed - unable to confirm registrar ownership. Redirects to original domain but different registrar (verify ownership) | WHOIS verification needed for both domains | Original registrant: Domains By Proxy, LLC, Typosquat registrant: Yonekura Kazutaka",enjEpUo_OoR,MALICIOUS_TYPOSQUAT,Urgent: Initiate takedown procedures - email phishing capability detected at alt.ai,CRITICAL,MALWARE,AUTOMATED,5000,10000,20000,
